题号,题干,A,B,C,D,E,答案,难度,题型
10001,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？ [cite: 8],瀑布模型,增量模型,原型模型,喷泉模型,,,B,未分类,单选题
10002,9.在哪个过程模型中，风险分析是显式且持续的活动？ [cite: 32],瀑布模型,螺旋模型,原型模型,增量模型,,,B,未分类,单选题
10003,11.敏捷宣言中提到的四个核心价值之一是？ [cite: 38],流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,,D,未分类,单选题
10004,12.面向对象分析中的"协作"是指什么？ [cite: 41],对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,,A,未分类,单选题
10005,"13. 一个程序的控制流图中有8个节点、12条边,在测试用例数最少的情况下,确保程序中每个可执行语句至少执行一次所需测试用例数的上限是 （ ） 。 [cite: 44]",2,4,6,8,,,B,未分类,单选题
10006,14.UML类图中，表示类之间整体与部分关系，且部分不能离开整体而单独存在的是？ [cite: 47],聚合,组合,关联,泛化,,,B,未分类,单选题
10007,8. 软件交付之后，由于软硬件环境发生变化而对软件进行修改的行为属于（ ）维护。 [cite: 29],改善性,适应性,预防性,改正性,,,B,未分类,单选题
10008,10.以下哪一项不是软件危机的表现形式( ) [cite: 35],成本高,生产率低,技术发展快,质量得不到保证,,,C,未分类,单选题
10009,15. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。 [cite: 50],移交,精化,构建,起始,,,B,未分类,单选题
10010,10.面向对象分析中的"协作"是指什么？,对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,,A,未分类,单选题
10011,7.敏捷宣言中提到的四个核心价值之一是？,流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,,D,未分类,单选题
10012,13.开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称做（ ）。,软件工程,软件周期,软件危机,软件产生,,,C,未分类,单选题
10013,14.软件工程是采用（　　）的概念、原理、技术方法指导计算机程序设计的工程学科。,工程,系统工程,体系结构,结构化设计,,,B,未分类,单选题
10014,15.下列哪项不是黑盒测试的技术？,边界值分析,等价类划分,语句覆盖,因果图,,,C,未分类,单选题
10015,11.敏捷开发中的"持续集成"意味着？,只在项目结束时进行集成测试,定期进行代码集成和测试，确保系统稳定性,每个开发人员独立工作，最后再进行集成,不需要进行集成测试,,,B,未分类,单选题
10016,6. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。,移交,精化,构建,起始,,,B,未分类,单选题
10017,5.在UML类图中，一个类可以包含另一个类的实例，这种关系被称为？,继承,聚合,组合,依赖,,,C,未分类,单选题
10018,4. 为了提高模块的独立性，模块之间最好是（）,公共耦合,控制耦合,数据耦合,特征耦合,,,C,未分类,单选题
10019,3. 研究软硬件资源的有效性是进行(）研究的一方面。,技术可行性,经济可行性,社会可行性,操作可行性,,,A,未分类,单选题
10020,2.在用例建模中，如何表示一个用例是另一个用例的可选扩展？,使用带有箭头的实线，并在箭头上标注《extend》,"使用带有空心箭头的虚线，并在箭头上标注《extend》,指向扩展用例","使用带有空心箭头的虚线，并在箭头上标注《extend》,指向基用例",使用不带箭头的实线，并在线上标注《extend》,,,C,未分类,单选题
10021,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？,瀑布模型,增量模型,原型模型,喷泉模型,,,B,未分类,单选题
10022,13.开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称做（ ）。,软件工程,软件周期,软件危机,软件产生,,,C,未分类,单选题
10023,14.软件工程是采用（　　）的概念、原理、技术方法指导计算机程序设计的工程学科。,工程,系统工程,体系结构,结构化设计,,,B,未分类,单选题
10024,15.下列哪项不是黑盒测试的技术？,边界值分析,等价类划分,语句覆盖,因果图,,,C,未分类,单选题
10025,6. 为了提高模块的独立性，模块之间最好是（） [cite: 23],公共耦合,控制耦合,数据耦合,特征耦合,,,C,未分类,单选题
10026,4. 某零件厂商的信息系统中，一个基本加工根据客户类型、订单金额、客户信用等信息的不同采取不同的行为，此时最适宜采用( )来描述该加工规格说明 [cite: 17],自然语言,流程图,判定表,某程序设计语言,,,C,未分类,单选题
10027,7.敏捷开发中的"站立会议"通常持续多长时间？ [cite: 26],几分钟到十几分钟,半小时到一小时,一小时到两小时,整天,,,A,未分类,单选题
10028,5. 研究软硬件资源的有效性是进行(）研究的一方面。 [cite: 20],技术可行性,经济可行性,社会可行性,操作可行性,,,A,未分类,单选题
10029,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？ [cite: 8],瀑布模型,增量模型,原型模型,喷泉模型,,,B,未分类,单选题
10030,3.在用例建模中，如何表示一个用例是另一个用例的可选扩展？ [cite: 14],使用带有箭头的实线，并在箭头上标注《extend》,"使用带有空心箭头的虚线，并在箭头上标注《extend》,指向扩展用例","使用带有空心箭头的虚线，并在箭头上标注《extend》,指向基用例",使用不带箭头的实线，并在线上标注《extend》,,,C,未分类,单选题
10031,详细设计的基本任务是确定每个模块的（ ）设计。,功能,调用关系,输入输出数据,算法,,,D,结构化设计,单选题
10032,下列哪个图不是N-S图的构件（ ）。,,,,,,,A,结构化设计,单选题
10033,下列几种耦合中，（ ）的耦合性最强。,公共耦合,数据耦合,控制耦合,内容耦合,,,D,结构化设计,单选题
10034,需求工程的主要目的是( ),系统开发的具体方案,进一步确定用户的需求,解决系统是 "做什么的问题",解决系统是 "如何做的问题",,,C,需求分析,单选题
10035,面向数据流的软件设计方法可将（）映射成软件结构,控制结构,模块,数据流,事物流,,,C,结构化设计,单选题
10036,汽车有一个发动机，汽车和发动机之间的关系是（）关系,泛化,关联,聚合,组合,,,D,UML,单选题
10037,UML是（）的缩写,Unified Module Language,Universal Module Language,Universal Module Locator,Unified Modeling Language,,,D,UML,单选题
10038,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是：（ ）,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,,A,软件测试,单选题
10039,软件工程的三要素是（）。,技术、方法和工具,方法、对象和类,方法、工具和过程,过程、模型、方法,,,C,软件工程概述,单选题
10040,包含风险分析的软件工程模型是（）,螺旋模型,瀑布模型,增量模型,喷泉模型,,,A,软件过程,单选题
10041,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,,D,结构化设计,单选题
10042,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（   ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,,D,软件过程,单选题
10043,软件质量属性中，（ ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,,B,需求分析,单选题
10044,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,,A,结构化设计,单选题
10045,在需求分析之前有必要进行（）工作。,程序设计,可行性研究,E-R分析,行为建模,,,B,需求分析,单选题
10046,结构化分析方法的基本思想是（）。,自底向上逐步分解,自顶向下逐步分解,自底向上逐步抽象,自顶向下逐步抽象,,,B,结构化分析,单选题
10047,在面向数据流的软件设计方法中，一般将信息流分为（）。,数据流和控制流,变换流和控制流,事务流和控制流,变换流和事务流,,,D,结构化设计,单选题
10048,在UML用例图中，参与者表示 （     ）。,人、硬件或其他系统可以扮演的角色,可以完成多种动作的相同用户,不管角色的实际物理用户,带接口的物理系统或者硬件设计,,,A,UM,单选题
10049,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用（）最适合。,类图,对象图,用例图,交互图,,,C,UM,单选题
10050,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是（ ）。,类图,部署图,组件图,网络图,,,B,UM,单选题
10051,面向对象设计中，基于父类创建的子类具有父类的所有特性（属性和方法），这一特点称为类的（）。,多态性,封装性,继承性,重用性,,,C,面向对象方法,单选题
10052,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,,C,UM,单选题
10053,白盒测试法是根据程序的（）来设计测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,,B,软件测试,单选题
10054,软件开发过程中，需求分析阶段的输出不包括（  ）。,流图,实体联系图,数据字典,软件体系结构图,,,D,需求分析,单选题
10055,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘-人成功购买单程、单张车票，该流程对应的是基本事件流,,,B,软件测试,单选题
10056,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,,D,结构化分析,单选题
10057,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（  ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,,D,结构化设计,单选题
10058,软件质量属性中，（ ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,,B,需求分析,单选题
10059,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,,A,结构化设计,单选题
10060,产生软件危机的主要原因是（）。,软件工具落后,软件生产能力不足,实行严格的产品控制,软件本身的特点及开发方法,,,D,软件工程概述,单选题
10061,快速原型模型的主要特点之一是（　　）,开发完毕才见到产品,及早提供工作软件,及早提供全部完整软件,开发完毕才见到工作软件,,,B,软件过程,单选题
10062,下列属于软件的特点的是（ ）。,软件是一种逻辑实体，具有抽象性,软件在使用过程中没有磨损、老化,软件不同于一般程序，它的一个显著特点是规模庞大，复杂程度高,以上都正确,,,D,软件工程概述,单选题
10063,需求分析阶段的工作成果是( )。,数据流程图案,数据字典,判定表,需求规格说明书,,,D,需求分析,单选题
10064,为了提高模块的独立性，模块内部最好是（）。,逻辑内聚,时间内聚,功能内聚,通信内聚,,,C,结构化设计,单选题
10065,需求工程的主要目的是( ),系统开发的具体方案,进一步确定用户的需求,解决系统是 "做什么的问题",解决系统是 "如何做的问题",,,C,需求分析,单选题
10066,面向数据流的软件设计方法可将（）映射成软件结构,控制结构,模块,数据流,事物流,,,C,结构化设计,单选题
10067,软件从一个计算机系统或环境转移到另一个计算系统或环境的容易程度。这个描述是指软件的（ ）。,可理解性,可靠性,可移植性,兼容性,,,C,软件工程概述,单选题
10068,下列系统设计工具中，（　　）不属于详细设计工具。,N—S图,数据流图,程序流程图,PAD,,,B,结构化设计,单选题
10069,用例图中用例之间存在各种关系，但不包括 （　　）,包含,关联,泛化,扩展,,,B,UM,单选题
10070,状态图包括（ ）,类的状态,触发类的状态转换的事件,状态之间的转换,所有以上选项,,,D,UM,单选题
10071,软件危机具有下列表现（ ）。1、对软件开发成本估计不准确 2、软件产品的质量往往靠不住 3、软件常常不可维护 4、软件成本逐年上升,1、2和3,1、3 和4,2、3和4,以上都正确,,,D,软件工程概述,单选题
10072,需求分析阶段最重要的技术文档是（ ）。,设计说明书,需求规格说明书,可行性分析报告,用户手册,,,B,需求分析,单选题
10073,增量模型本质上是一种（）。,线性顺序模型,整体开发模型,非整体开发模型,螺旋模型,,,C,软件过程,单选题
10074,结构化分析方法的基本思想是（）。,自底向上逐步分解,自顶向下逐步分解,自底向上逐步抽象,自顶向下逐步抽象,,,B,结构化分析,单选题
10075,进行需求分析可使用多种工具，但（）是不适用的。,数据流图,PAD图,状态转换图,数据词典,,,B,结构化分析,单选题
10076,面向数据流的软件设计方法可将（）映射成软件结构。,控制结构,模块,数据流,事物流,,,C,结构化设计,单选题
10077,软件开发过程中，需求分析阶段的输出不包括（ ）。,流图,实体联系图,数据字典,软件体系结构图,,,D,结构化分析,单选题
10078,在UML用例图中，参与者表示（   ）。,人、硬件或其他系统可以扮演的角色,可以完成多种动作的相同用户,不管角色的实际物理用户,带接口的物理系统或者硬件设计,,,A,UM,单选题
10079,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用（ ）最适合。,类图,对象图,用例图,交互图,,,C,UM,单选题
10080,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是（ ）。,类图,部署图,组件图,网络图,,,B,UM,单选题
10081,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,,C,UM,单选题
10082,白盒测试法是根据程序的（）来 design 测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,,B,软件测试,单选题
10083,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,,B,软件测试,单选题
10084,面向对象设计中，基于父类创建的子类具有父类的所有特性（属性和方法），这一特点称为类的（）。,多态性,封装性,继承性,重用性,,,C,面向对象方法,单选题
10085,在SD方法中全面指导模块划分的最重要的原则是（）,程序模块化,模块高内聚,模块低耦合,模块独立性,,,D,结构化设计,单选题
10086,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码.,,,C,需求分析,单选题
10087,在销售管理系统需求文档中出现下列描述，属于功能需求范畴的是（）,系统应能产生月销售报表,系统应在5分钟内计算出给定季度的总销售税,对要构建的账户接收系统，必须为月财务状况系统提供更新信息,任取1秒钟，一个特定应用所消耗的可用计算能力平均不超过50%,,,A,需求分析,单选题
10088,瀑布模型的存在问题是（    ）,用户容易参与开发,缺乏灵活性,用户与开发者易沟通,适用可变需求,,,B,软件过程,单选题
10089,UML图中，对新开发系统的需求进行建模，规划开发什么功能或测试用例，采用 （   ） 最适合。,类图,对象图,用例图,交互图,,,C,UM,单选题
10090,UML图中，对展示交付系统的软件组件和硬件之间的关系的图是 （  ）,类图,部署图,组件图,网络图,,,B,UM,单选题
10091,白盒测试法是根据程序的（）来设计测试用例的方法。,输出数据,内部逻辑,功能,输入数据,,,B,软件测试,单选题
10092,软件工程的三要素是（）。,技术、方法和工具,方法、对象和类,方法、工具和过程,过程、模型、方法,,,C,软件工程概述,单选题
10093,若一个学生可以在一所或者多所学校注册学习，那么这种关联关系称为 （）。,依赖,泛化,组合,聚合,,,D,UM,单选题
10094,在结构化分析方法的基本术语中，数据流的起点称为（   ）。,数据,数据存储,加工,数据源,,,D,结构化分析,单选题
10095,软件质量属性中（   ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,,B,需求分析,单选题
10096,一组模块共同引用一个全局数据项，则该组模块间的耦合类型是（）,数据耦合,标记耦合,控制耦合,公共耦合,,,D,结构化设计,单选题
10097,包含风险分析的软件工程模型是（）,螺旋模型,瀑布模型,增量模型,喷泉模型,,,A,软件过程,单选题
10098,在常见的软件开发模型中，能体现软件创建所固有的选代和无间隙特征的是（  ）,喷泉模型,螺旋模型,增量模型,瀑布模型,,,A,软件过程,单选题
10099,在销售管理系统需求文档中出现下列描述，属于功能需求范畴的是（）,系统应能产生月销售报表,系统应在5分钟内计算出给定季度的总销售税,对要构建的账户接收系统，必须为月财务状况系统提供更新信息,任取1秒钟，一个特定应用所消耗的可用计算能力平均不超过50%,,,A,需求分析,单选题
10100,准确地解决"软件系统必须做什么"是（   ）阶段的任务。,可行性研究,详细设计,需求分析,编码.,,,C,需求分析,单选题
10101,在SD方法中全面指导模块划分的最重要的原则是（）,程序模块化,模块高内聚,模块低耦合,模块独立性,,,D,结构化设计,单选题
10102,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中正确的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,,D,UM,单选题
10103,某企业信息管理系统中，采购子系统根据材料的价格、数量等信息计算采购的金额，并给财务子系统传递采购金额、收款方和采购日期等信息，则这两个子系统之间的耦合类型属于（）耦合,数据,标记,控制,外部,,,A,结构化设计,单选题
10104,假设选修课程数目的输入范围为1-4，则根据黑盒测试中的等价类划分技术，下列划分正确的是（）,2个有效等价类，2个无效等价类,1个有效等价类，2个无效等价类,2个有效等价类，1个无效等价类,1个有效等价类，1个无效等价类,,,B,软件测试,单选题
10105,时序图反映对象之间发送消息的时间顺序，它与（）是同构图。,用例图,类图,活动图,协作图,,,D,UM,单选题
10106,结构化分析方法中，数据流图中的元素在（ ）中进行定义。,加工逻辑,实体联系图,流程图,数据字典,,,D,结构化分析,单选题
10107,以下关于UML状态图中转换的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,,C,UM,单选题
10108,耦合是模块之间的相对独立性（互相连接点紧密程度）的度量。耦合程度不取决于（   ）,调用模块的方式,各个模块之间接口的复杂程度,通过接口的信息类型,模块提供的功能数,,,D,结构化设计,单选题
10109,软件质量属性中（   ）是指软件每分钟可以处理多少个请求。,响应时间,吞吐量,负载,容量,,,B,需求分析,单选题
10110,进行需求分析可使用多种工具，但（   ）是不适用的。,数据流图,PAD图,状态转换图,数据词典,,,B,结构化分析,单选题
10111,黑盒测试技术不包括（    ）,等价类划分,路径覆盖,边界值分析,错误推测,,,B,软件测试,单选题
10112,以下关于UML状态图中转换（transition）的叙述中，不正确的是（ ）。,活动可以在转换时执行也可以在状态内执行,监护条件只有在相应的事件发生时才进行检查,一个转换可以有事件触发器、监护条件和一个状态,事件触发转换,,,C,UM,单选题
10113,以使用某购票系统进行国内车票购买的过程为例，如果需要针对相关业务流程设计测试用例，则如下描述中错误的是（     ）。,成功登录系统，出发地城市分别选择100个不存在的、或不在中国境内的城市，无法购票，对应同一个备选事件流,成功登录系统，为已有乘车人成功购买单程单张车票，以及为已有乘车人成功购买单程多张车票，这两个流程分别对应两个基本事件流,系统登录失败，该流程对应的是备选事件流,成功登录系统，为已有乘车人成功购买单程、单张车票，该流程对应的是基本事件流,,,B,UM,单选题
10114,软件开发过程中，需求分析阶段的输出不包括（  ）。,流图,实体联系图,数据字典,软件体系结构图,,,D,需求分析,单选题
10115,面向数据流的软件设计方法可将（  ）映射成软件结构。,控制结构,模块,数据流,事物流,,,C,结构化设计,单选题
